LEFT HEMISPHERE:
  Index 19: R_V3B_ROI
  Index 20: R_LO1_ROI
  Index 21: R_LO2_ROI
  Index 22: R_PIT_ROI
  Index 23: R_MT_ROI
  Index 24: R_A1_ROI
  Index 25: R_PSL_ROI
  Index 26: R_SFL_ROI
  Index 27: R_PCV_ROI
  Index 28: R_STV_ROI
  Index 29: R_7Pm_ROI
  Index 30: R_7m_ROI
  Index 31: R_POS1_ROI
  Index 32: R_23d_ROI
  Index 33: R_v23ab_ROI
  Index 34: R_d23ab_ROI
  Index 35: R_31pv_ROI
  Index 36: R_5m_ROI
  Index 37: R_5mv_ROI
  Index 38: R_23c_ROI
  Index 39: R_5L_ROI
  Index 40: R_24dd_ROI
  Index 41: R_24dv_ROI
  Index 42: R_7AL_ROI
  Index 43: R_SCEF_ROI
  Index 44: R_6ma_ROI
  Index 45: R_7Am_ROI
  Index 46: R_7PL_ROI
  Index 47: R_7PC_ROI
  Index 48: R_LIPv_ROI
  Index 49: R_VIP_ROI
  Index 50: R_MIP_ROI
  Index 51: R_1_ROI
  Index 52: R_2_ROI
  Index 53: R_3a_ROI
  Index 54: R_6d_ROI
  Index 55: R_6mp_ROI
  Index 56: R_6v_ROI
  Index 57: R_p24pr_ROI
  Index 58: R_33pr_ROI
  Index 59: R_a24pr_ROI
  Index 60: R_p32pr_ROI
  Index 61: R_a24_ROI
  Index 62: R_d32_ROI
  Index 63: R_8BM_ROI
  Index 64: R_p32_ROI
  Index 65: R_10r_ROI
  Index 66: R_47m_ROI
  Index 67: R_8Av_ROI
  Index 68: R_8Ad_ROI
  Index 69: R_9m_ROI
  Index 70: R_8BL_ROI
  Index 71: R_9p_ROI
  Index 72: R_10d_ROI
  Index 73: R_8C_ROI
  Index 74: R_44_ROI
  Index 75: R_45_ROI
  Index 76: R_47l_ROI
  Index 77: R_a47r_ROI
  Index 78: R_6r_ROI
  Index 79: R_IFJa_ROI
  Index 80: R_IFJp_ROI
  Index 81: R_IFSp_ROI
  Index 82: R_IFSa_ROI
  Index 83: R_p9-46v_ROI
  Index 84: R_46_ROI
  Index 85: R_a9-46v_ROI
  Index 86: R_9-46d_ROI
  Index 87: R_9a_ROI
  Index 88: R_10v_ROI
  Index 89: R_a10p_ROI
  Index 90: R_10pp_ROI
  Index 91: R_11l_ROI
  Index 92: R_13l_ROI
  Index 93: R_OFC_ROI
  Index 94: R_47s_ROI
  Index 95: R_LIPd_ROI
  Index 96: R_6a_ROI
  Index 97: R_i6-8_ROI
  Index 98: R_s6-8_ROI
  Index 99: R_43_ROI
  Index 100: R_OP4_ROI
  Index 101: R_OP1_ROI
  Index 102: R_OP2-3_ROI
  Index 103: R_52_ROI
  Index 104: R_RI_ROI
  Index 105: R_PFcm_ROI
  Index 106: R_PoI2_ROI
  Index 107: R_TA2_ROI
  Index 108: R_FOP4_ROI
  Index 109: R_MI_ROI
  Index 110: R_Pir_ROI
  Index 111: R_AVI_ROI
  Index 112: R_AAIC_ROI
  Index 113: R_FOP1_ROI
  Index 114: R_FOP3_ROI
  Index 115: R_FOP2_ROI
  Index 116: R_PFt_ROI
  Index 117: R_AIP_ROI
  Index 118: R_EC_ROI
  Index 119: R_PreS_ROI
  Index 120: R_H_ROI
  Index 121: R_ProS_ROI
  Index 122: R_PeEc_ROI
  Index 123: R_STGa_ROI
  Index 124: R_PBelt_ROI
  Index 125: R_A5_ROI
  Index 126: R_PHA1_ROI
  Index 127: R_PHA3_ROI
  Index 128: R_STSda_ROI
  Index 129: R_STSdp_ROI
  Index 130: R_STSvp_ROI
  Index 131: R_TGd_ROI
  Index 132: R_TE1a_ROI
  Index 133: R_TE1p_ROI
  Index 134: R_TE2a_ROI
  Index 135: R_TF_ROI
  Index 136: R_TE2p_ROI
  Index 137: R_PHT_ROI
  Index 138: R_PH_ROI
  Index 139: R_TPOJ1_ROI
  Index 140: R_TPOJ2_ROI
  Index 141: R_TPOJ3_ROI
  Index 142: R_DVT_ROI
  Index 143: R_PGp_ROI
  Index 144: R_IP2_ROI
  Index 145: R_IP1_ROI
  Index 146: R_IP0_ROI
  Index 147: R_PFop_ROI
  Index 148: R_PF_ROI
  Index 149: R_PFm_ROI
  Index 150: R_PGi_ROI
  Index 151: R_PGs_ROI
  Index 152: R_V6A_ROI
  Index 153: R_VMV1_ROI
  Index 154: R_VMV3_ROI
  Index 155: R_PHA2_ROI
  Index 156: R_V4t_ROI
  Index 157: R_FST_ROI
  Index 158: R_V3CD_ROI
  Index 159: R_LO3_ROI
  Index 160: R_VMV2_ROI
  Index 161: R_31pd_ROI
  Index 162: R_31a_ROI
  Index 163: R_VVC_ROI
  Index 164: R_25_ROI
  Index 165: R_s32_ROI
  Index 166: R_pOFC_ROI
  Index 167: R_PoI1_ROI
  Index 168: R_Ig_ROI
  Index 169: R_FOP5_ROI
  Index 170: R_p10p_ROI
  Index 171: R_p47r_ROI
  Index 172: R_TGv_ROI
  Index 173: R_MBelt_ROI
  Index 174: R_LBelt_ROI
  Index 175: R_A4_ROI
  Index 176: R_STSva_ROI
  Index 177: R_TE1m_ROI
  Index 178: R_PI_ROI
  Index 179: R_a32pr_ROI
  Index 180: R_p24_ROI
